include,FALSE,FALSE,FALSE,filtering,filtering,layout,layout,metadata,FALSE,FALSE,metadata,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,?,?,?,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,?,FALSE,metadata,TRUE,TRUE,TRUE,TRUE,TRUE
56,43,7856,56/78,F,T,11.1,11,n. a.,NA,C,I1,4–5,NA,NA,25,NA,NA,135,SE,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-19.8,9.1,NA,NA,NA
57,44,7857,57/78,T,T,11.1,12.7,M,M,M,M1,40–50,180,100,40,125,NW,304,NW,L,0,2,2,0,0,0,7,3,4,3,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-19.6,10.7,0.71092,72,165.5
58,45,7858,58/78,F,F,6.9,6.4,ind.,NA,NA,NA,NA,140,75,45,130,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,NA,NA,NA,NA,NA
59,46,7859,59/78,T,T,6.4,5.9,M,M,M,A2,25–30,135,85,45,115,E,90,E,R,0,1,1,0,0,0,2,0,2,0,0,2,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-19.4,10.3,0.71144,109,165.8
60,47,7860,60/78,F,T,9.4,13,n. a.,NA,C,NA,NA,120,65,35,126,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,NA,NA,NA,NA,NA
61,48,7861,61/78,T,T,6.1,5.45,F,F,F,M1,40–50,160,90,45,112,E,115,SE,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IIa,-19.8,9.3,0.71161,81,NA
62,49,7862,62/78,T,T,7.15,5.3,F,F,F,A2,30–40,145,80,50,120,SE,127,SE,L,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Ib,-19.9,9.4,0.71129,127,NA
63,50,7863,63/78,T,T,5.15,5.4,M,M,M,M1,40–45,130,75,40,116,SE,130,SE,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-19.9,10,0.71167,59,NA
64,51,7864,64/78,T,T,6.45,4.9,F,F,F,A1,18–25,130,80,60,113,E,106,E,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-19.8,9.2,0.71111,57,138.7
65,52,7865,65/78,F,T,5.35,4.15,ind.,NA,NA,NA,NA,170,85,85,132,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,un,NA,NA,NA,NA,NA
66,53,7866,66/78,T,T,6.4,5.05,M,M,M,A2,30–35,130,90,70,110,E,108,E,L,0,0,0,0,0,0,2,0,2,0,2,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IIa,-19.7,9.9,0.71153,104,159.8
67,54,7867,67/78,T,T,5.9,4.7,F,F,F,AM,35–45,150,85,55,114,SE,122,SE,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-19.6,8.6,0.71226,53,NA
68,55,7868,68/78,T,T,6.2,4.15,F,F,F,M2,50+,170,95,70,125,NW,316,NW,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-19.5,9.5,0.70959,94,151.3
69,56,7869,69/78,T,T,7.1,6.9,M,M,M,A1,20–30,165,80,75,112,NW,310,NW,L,1,1,1,0,1,2,1,0,1,0,1,0,0,0,5,3,0,2,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,21,7,0,21,0,0,0,0,0,Ib,NA,NA,NA,NA,169
70,57,7970,70/79,T,T,7.6,3.85,F,F,M,M1,45–50,150,75,65,115,SE,125,SE,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,20,0,0,20,0,0,0,0,0,Ib,-19.5,9.5,0.70995,54,157
71,58,7971,71/79,T,T,6.7,3.2,M,M,M,AM,35–45,130,75,55,105,E,103,E,L,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,un,-19.3,10.3,0.71112,47,163.8
72,59,7972,72/79,T,T,6.8,2.7,F,F,F,A2,30–40,150,80,95,105,E,112,E,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,Ib,-19.5,9.3,0.71228,69,158.5
73,60,7973,73/79,T,T,4.65,3.95,M,M,M,A1,20–25,150,75,70,110,SE,120,SE,L,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-19.7,10.2,0.71047,47,167.5
74,61,7974,74/79,T,T,5.85,1.75,F,F,F,M2,50+,150,95,50,130,SE,135,SE,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-19.3,9.5,NA,NA,150.2
75,62,7975,75/79,T,T,6.2,1.2,F,F,F,A,25–35,125,75,65,118,SE,120,SE,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-19.5,9.3,0.71118,119,156.7
76,63,7976,76/79,T,T,5.65,1,M,M,M,A2,30–35,155,85,80,112,E,107,E,L,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,un,-19.5,9.4,0.7113,46,163.1
77,64,7977,77/79,T,T,6.9,1.35,M,M,M,M1,40–50,155,95,80,120,SE,120,SE,L,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Ib,-19.3,10,0.71113,62,166.5
78,65,7978,78/79,T,T,6.9,0.95,n. a.,NA,C,I2,7–8,155,95,55,155,SE,160,S,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,un,-19.5,9.1,0.7115,88,NA
79,66,7979,79/79,T,T,5,0.5,M,M,M,A,25–35,160,85,50,120,SE,115,SE,L,1,1,1,0,0,0,8,3,4,3,4,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ib,-19.6,10,0.71112,52,169.3
80,67,7980,80/79,T,T,4.9,3.9,F,F,M,AM,35–45,120,75,60,110,SE,120,SE,L,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-19.6,9.2,NA,NA,159.4
81,68,7981,81/79,T,T,5,2.2,F,F,F,A1,20–30,170,80,70,122,SE,120,SE,L,0,0,0,0,0,1,2,1,0,1,0,1,0,0,2,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Ib,NA,NA,NA,NA,161.4
82,69,7982,82/79,T,T,4.85,0.95,M,M,M,M2,50+,160,85,80,115,SE,110,E,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-19.1,10.6,0.71133,101,175.8
83,70,8083,83/80,T,T,3.8,4.55,F,F,F,S,60+,155,85,45,135,E,145,SE,L,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,un,-19.5,9.2,NA,NA,NA
84,71,8084,84/80,T,T,3.85,4,n. a.,NA,C,I2,9,120,70,45,110,E,105,E,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,un,-20.2,9.9,0.71097,100,NA
85,72,8085,85/80,F,T,4,3.05,ind.,NA,NA,NA,NA,175,80,80,120,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,NA,NA,NA,NA,NA
86,73,8086,86/80,T,T,3.52,2.3,F,F,F,A1,25–30,130,80,55,95,E,102,E,L,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,Ib,-19.9,9.8,0.70955,75,143.8
87,74,8087,87/80,T,T,4.35,0.7,F,F,NA,A,Adult,110,70,35,135,SE,135,SE,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-19.5,9.7,NA,NA,NA
88,75,8088,88/80,T,T,3.4,0,M,M,M,A1,20–30,135,80,40,125,SE,130,SE,L,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-19.9,9.7,0.71118,75,158.3
89,76,8089,89/80,T,T,2,5.7,F,F,F,A,Adult,160,80,35,110,E,110,E,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-20.0,9.3,NA,NA,NA
90,77,8090,90/80,T,T,4.6,0.2,F,F,F,A,Adult,NA,NA,30,NA,NA,110,E,L,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-19.7,9.5,NA,NA,NA
91,78,8091,91/80,T,T,2.4,4.25,F,F,F,J,18–20,170,80,75,90,E,80,E,V,1,0,0,0,0,0,3,3,0,3,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,Ib,-19.4,9.8,0.71022,100,165
92,79,8092,92/80,F,F,2.6,4.3,ind.,NA,NA,NA,NA,160,80,50,95,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,NA,NA,NA,NA,NA
93,80,8093,93/80,T,T,3,3,F,F,F,A1,18–25,155,95,50,120,SE,115,SE,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-19.8,10.2,0.71215,27,154.3
94,81,8094,94/80,T,T,2.2,3.1,F,F,F,A1,18–25,135,75,40,120,SE,130,SE,L,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-19.7,9,0.71125,49,147.6
95,82,8095,95/80,F,T,3.9,6,M,M,C,M2,50–60,NA,NA,120,NA,NA,90,E,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,un,-19.6,9.7,NA,NA,NA
96,83,8096,96/80,T,T,3.65,1.95,n. a.,NA,C,I1,3–5,110,85,45,130,SE,124,SE,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,un,-19.5,9.8,0.71116,50,NA
97,84,8097,97/80,T,T,3.8,7.1,F,F,F,A2,30–40,155,70,55,135,SE,145,SE,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-19.7,9.5,0.7102,82,162.1
98,85,8198,98/81,T,T,1.25,4.72,ind.,NA,NA,A,Adult,110,75,35,110,NA,305,NW,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ib,NA,NA,NA,NA,NA
99,86,8199,99/81,T,T,1,4.7,M,M,M,A2,30,135,80,45,105,E,105,E,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ib,-20.1,9.5,0.70835,101,NA
100,87,81100,100/81,T,T,1.3,7,F,F,F,A1,20–30,140,85,45,130,NW,325,NW,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,Ib,-19.7,10,0.71067,33,NA
101,88,81101,101/81,T,T,0.6,8.7,F,F,F,M,45–55,135,90,45,132,SE,140,SE,L,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-19.7,9.9,0.70944,80,149.7
102,89,81102,102/81,T,T,1.2,8.9,F,F,F,M1,40–45,145,85,40,105,E,90,E,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-20.0,9.2,0.71263,101,158.6
103,90,81103,103/81,T,T,1.8,9.6,F,F,F,M2,50–60,130,80,40,115,E,110,E,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,NA,NA,NA,NA,NA
104,91,81104,104/81,T,T,0.4,9.65,F,F,F,M2,50+,115,75,40,110,NW,315,NW,L,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-19.9,9.8,0.7112,98,NA
105,92,81105,105/81,T,T,2.4,10.3,F,F,F,J,16–18,145,75,40,100,E,95,E,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-19.7,9,0.7113,91,NA
106,93,82106,106/82,T,T,2.7,11.3,F,F,F,J,16–18,120,75,35,135,SE,145,SE,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IIa,-19.5,8.9,NA,NA,NA
107,94,82107,107/82,T,T,7.2,11.9,F,?,F,J,20,135,85,35,105,E,318,NW,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,NA,NA,NA,NA,NA
108,95,84108,108/84,F,T,14,7.1,ind.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,NA,NA,NA,NA,NA
